"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Attacks"
"dc1-1","Team Magma's Numel","Pokemon","Basic","70","Fire","2","Common","Ember: Cost=[], Damage=30, Text=Discard an Energy attached to this Pokemon."
"dc1-2","Team Magma's Camerupt","Pokemon","Stage 1","110","Fire","3","Rare Holo","Flame Ball: Cost=[], Damage=60, Text=Move a basic Energy from this Pokemon to 1 of your Benched Pokemon."
"dc1-3","Team Aqua's Spheal","Pokemon","Basic","60","Water","2","Common","Water Gun: Cost=[], Damage=10, Text="
"dc1-4","Team Aqua's Sealeo","Pokemon","Stage 1","90","Water","3","Common","Splatter: Cost=[], Damage=, Text=This attack does 20 damage to 1 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) | Hail Storm: Cost=[], Damage=60+, Text=If your opponent's Active Pokemon is a Team Magma Pokemon, this attack does 60 more damage."
"dc1-5","Team Aqua's Walrein","Pokemon","Stage 2","140","Water","4","Rare Holo","Power Blow: Cost=[], Damage=30×, Text=This attack does 30 damage times the amount of Energy attached to this Pokemon. | Dual Blizzard: Cost=[], Damage=, Text=Discard 2 Water Energy attached to this Pokemon. This attack does 80 damage to 2 of your opponent's Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"dc1-7","Team Aqua's Grimer","Pokemon","Basic","70","Psychic","2","Common","Pound: Cost=[], Damage=10, Text= | Mud-Slap: Cost=[], Damage=30, Text="
"dc1-8","Team Aqua's Muk","Pokemon","Stage 1","110","Psychic","3","Rare Holo","Pester: Cost=[], Damage=60+, Text=If your opponent's Active Pokemon is affected by a Special Condition, this attack does 60 more damage."
"dc1-9","Team Aqua's Seviper","Pokemon","Basic","90","Psychic","1","Common","Venomous Fang: Cost=[], Damage=10, Text=Flip a coin. If heads, your opponent's Active Pokemon is now Poisoned. | Venom Tail: Cost=[], Damage=30, Text=If your opponent's Active Pokemon is affected by a Special Condition, discard an Energy attached to that Pokemon."
"dc1-10","Team Magma's Baltoy","Pokemon","Basic","50","Psychic","1","Common","Telekinesis: Cost=[], Damage=, Text=This attack does 20 damage to 1 of your opponent's Pokemon. This attack's damage isn't affected by Weakness or Resistance."
"dc1-11","Team Magma's Claydol","Pokemon","Stage 1","90","Psychic","2","Rare Holo","Power Beam: Cost=[], Damage=70, Text="
"dc1-12","Team Magma's Aron","Pokemon","Basic","60","Fighting","2","Common","Gnaw: Cost=[], Damage=10, Text="
"dc1-13","Team Magma's Lairon","Pokemon","Stage 1","90","Fighting","3","Common","Gnaw: Cost=[], Damage=30, Text= | Take Down: Cost=[], Damage=60, Text=This Pokemon does 10 damage to itself."
"dc1-14","Team Magma's Aggron","Pokemon","Stage 2","140","Fighting","4","Rare Holo","Rock Stomp: Cost=[], Damage=40×, Text=Discard as many Fighting Energy attached to your Pokemon as you like. This attack does 40 damage times the amount of Fighting Energy you discarded. | Boulder Storm: Cost=[], Damage=120, Text=This attack does 20 damage to each of your opponent's Benched Pokemon that has any damage counters on it. (Don't apply Weakness and Resistance for Benched Pokemon.)"
"dc1-16","Team Aqua's Poochyena","Pokemon","Basic","60","Darkness","1","Common","Roar: Cost=[], Damage=, Text=Your opponent switches his or her Active Pokemon with 1 of his or her Benched Pokemon. | Bite: Cost=[], Damage=20, Text="
"dc1-17","Team Magma's Poochyena","Pokemon","Basic","60","Darkness","1","Common","Infiltrate: Cost=[], Damage=, Text=Your opponent reveals his or her hand. | Bite: Cost=[], Damage=20, Text="
"dc1-18","Team Aqua's Mightyena","Pokemon","Stage 1","100","Darkness","1","Common","Teampact: Cost=[], Damage=30×, Text=Flip a coin for each Team Aqua Pokemon you have in play. This attack does 30 damage times the number of heads. | Crunch: Cost=[], Damage=80, Text=Flip a coin. If heads, discard an Energy attached to your opponent's Active Pokemon."
"dc1-19","Team Magma's Mightyena","Pokemon","Stage 1","100","Darkness","1","Common","Bite: Cost=[], Damage=30, Text= | Hostile Fang: Cost=[], Damage=80, Text=If your opponent's Active Pokemon is a Team Aqua Pokemon, this attack does 40 more damage."
"dc1-20","Team Aqua's Carvanha","Pokemon","Basic","50","Darkness","1","Common","Fin Smack: Cost=[], Damage=10×, Text=Flip 2 coins. This attack does 10 damage times the number of heads."
