"ID","Name","Supertype","Subtypes","HP","Types","RetreatCost","Rarity","Attacks"
"dv1-1","Dratini","Pokemon","Basic","40","Dragon","1","Rare Holo","Wrap: Cost=[], Damage=20, Text=Flip a coin. If heads, the Defending Pokemon is now Paralyzed."
"dv1-2","Dratini","Pokemon","Basic","40","Dragon","1","Rare Holo","Hypnotic Gaze: Cost=[], Damage=, Text=The Defending Pokemon is now Asleep. | Tail Whap: Cost=[], Damage=10, Text="
"dv1-3","Dragonair","Pokemon","Stage 1","70","Dragon","2","Rare Holo","Tail Whap: Cost=[], Damage=20, Text= | Dragon Pulse: Cost=[], Damage=70, Text=Discard the top card of your deck."
"dv1-4","Dragonair","Pokemon","Stage 1","70","Dragon","2","Rare Holo","Healing Melody: Cost=[], Damage=, Text=Heal 10 damage from each of your Pokemon. | Slam: Cost=[], Damage=30×, Text=Flip 2 coins. This attack does 30 damage times the number of heads."
"dv1-5","Dragonite","Pokemon","Stage 2","150","Dragon","3","Rare Holo","Hyper Beam: Cost=[], Damage=50, Text=Flip a coin. If heads, discard an Energy attached to the Defending Pokemon. | Hurricane Tail: Cost=[], Damage=60×, Text=Flip 4 coins. This attack does 60 damage times the number of heads."
"dv1-6","Bagon","Pokemon","Basic","50","Dragon","1","Rare Holo","Headbutt: Cost=[], Damage=10, Text= | Dragon Claw: Cost=[], Damage=20, Text="
"dv1-7","Shelgon","Pokemon","Stage 1","80","Dragon","3","Rare Holo","Knock Away: Cost=[], Damage=10+, Text=Flip a coin. If heads, this attack does 20 more damage. | Rollout: Cost=[], Damage=50, Text="
"dv1-8","Salamence","Pokemon","Stage 2","140","Dragon","2","Rare Holo","Shred: Cost=[], Damage=90, Text=This attack's damage isn't affected by any effects on the Defending Pokemon."
"dv1-9","Latias","Pokemon","Basic","100","Dragon","1","Rare Holo","Energy Assist: Cost=[], Damage=, Text=Attach a basic Energy card from your discard pile to 1 of your Benched Pokemon. | Sky Heal: Cost=[], Damage=40, Text=If Latios is on your Bench, heal 20 damage from this Pokemon."
"dv1-10","Latios","Pokemon","Basic","100","Dragon","1","Rare Holo","Sky Blade: Cost=[], Damage=20+, Text=If Latias is on your Bench, this attack does 20 more damage. | Speed Wing: Cost=[], Damage=60, Text="
"dv1-11","Rayquaza","Pokemon","Basic","120","Dragon","3","Rare Holo","Dragon Pulse: Cost=[], Damage=40, Text=Discard the top 2 cards of your deck. | Shred: Cost=[], Damage=90, Text=This attack's damage isn't affected by any effects on the Defending Pokemon."
"dv1-12","Axew","Pokemon","Basic","40","Dragon","1","Rare Holo","Signs of Evolution: Cost=[], Damage=, Text=Flip a coin. If heads, search your deck for Fraxure, reveal it, and put it into your hand, Shuffle your deck afterward. | Scratch: Cost=[], Damage=10, Text="
"dv1-13","Axew","Pokemon","Basic","50","Dragon","1","Rare Holo","Lunge: Cost=[], Damage=30, Text=Flip a coin. If tails, this attack does nothing."
"dv1-14","Fraxure","Pokemon","Stage 1","70","Dragon","1","Rare Holo","Dragon Claw: Cost=[], Damage=60, Text="
"dv1-15","Fraxure","Pokemon","Stage 1","80","Dragon","2","Rare Holo","Scratch: Cost=[], Damage=20, Text= | Sharp Fang: Cost=[], Damage=40, Text="
"dv1-16","Haxorus","Pokemon","Stage 2","140","Dragon","2","Rare Holo","Axe Slugger: Cost=[], Damage=60+, Text=If the Defending Pokemon is a Colorless Pokemon, this attack does 60 more damage. | Dragon Pulse: Cost=[], Damage=100, Text=Discard the top card of your deck."
"dv1-17","Druddigon","Pokemon","Basic","110","Dragon","2","Rare Holo","Tight Jaw: Cost=[], Damage=20, Text=Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | Dragon Tail: Cost=[], Damage=80×, Text=Flip 2 coins. This attack does 80 damage times the number of heads."
"dv1-20","Super Rod","Trainer","Item",,"","","Rare Holo",""
